SKI RESORT,TOWN,STATE SHORT,COUNTY
Buena Vista Ski Area , Bemidji,MN,Beltrami
Giants Ridge , Biwabik,MN,St. Louis
Hyland Ski and Snowboard Area , Bloomington,MN,Hennepin
Buck Hill , Burnsville,MN,Dakota
Mount Itasca , Coleraine,MN,Itasca
Detroit Mountain , Detroit Lakes,MN,Becker
Chester Bowl Park , Duluth,MN,St. Louis
Spirit Mountain , Duluth,MN,St. Louis
Andes Tower Hills , Kensington,MN,Douglas
Powder Ridge , Kimball,MN,Stearns
Lutsen Mountains , Lutsen,MN,Cook
Mount Kato , Mankato,MN,Blue Earth
Ski Gull , Nisswa,MN,Crow Wing
Wild Mountain , Taylors Falls,MN,Chisago
Coffee Mill Ski Area , Wabasha,MN,Wabasha
Snow Creek , Weston,MO,Platte
Hidden Valley Ski Area , Wildwood,MO,St. Louis
Discovery , Anaconda,MT,Deer Lodge
Big Sky , Big Sky,MT,Gallatin
Moonlight Basin , Big Sky,MT,Gallatin
Yellowstone Club , Big Sky,MT,Gallatin
Bridger Bowl , Bozeman,MT,Gallatin
Teton Pass , Choteau,MT,Teton
Lost Trail Powder Mountain , Conner,MT,Ravalli
Blacktail Mountain , Lakeside,MT,Flathead
Turner Mountain , Libby,MT,Rosebud
Great Divide , Marysville,MT,Lincoln
Montana Snowbowl , Missoula,MT,Missoula
Showdown , Neihart,MT,Cascade
Red Lodge Mountain , Red Lodge,MT,Carbon
Whitefish Mountain Resort , Whitefish,MT,Flathead
Bear Paw Ski Bowl,Havre,MT,Hill
Elko Snobowl Ski and Bike Park , Elko,NV,Elko
Diamond Peak , Incline Village,NV,Washoe
Las Vegas Ski and Snowboard Resort (Lee Canyon) , Las Vegas,NV,Clark
Mount Rose , Reno,NV,Washoe
Sky Tavern Ski Area , Reno,NV,Washoe
Arrowhead , Claremont,NH,Sullivan
Franklin Veterans Memorial Recreation Area , Franklin,NH,Merrimack
Black Mountain , Jackson,NH,Grafton
McIntyre Ski Area , Manchester,NH,Hillsborough
Cranmore Mountain Resort , North Conway,NH,Carroll
Big Snow American Dream , East Rutherford (indoor),NJ,Bergen
Hidden Valley , Vernon,NJ,Sussex
Mountain Creek , Vernon,NJ,Sussex
Sandia Peak , Albuquerque,NM,Bernalillo
Angel Fire Resort , Angel Fire,NM,Colfax
Ski Cloudcroft , Cloudcroft,NM,Otero
Pajarito Mountain , Los Alamos,NM,Los Alamos
Red River Ski Area , Red River,NM,Taos
Ski Apache , Ruidoso,NM,Lincoln
Ski Santa Fe , Santa Fe,NM,Santa Fe
Taos Ski Valley , Taos,NM,Taos
Sipapu , Vadito,NM,Taos
Royal Mountain , Caroga,NY,Fulton
West Mountain , Glens Falls,NY,Warren
Holiday Mountain Ski & Fun , Monticello,NY,Sullivan
Gore Mountain , North Creek,NY,Warren
McCauley Mountain , Old Forge,NY,Herkimer
Beartown Ski Area , Plattsburgh,NY,Clinton
Brantling Ski Slopes , Sodus,NY,Wayne
Oak Mountain , Speculator,NY,Hamilton
Victor Constant Ski Area, West Point,NY,Orange
Ski Beech , Beech Mountain,NC,Avery
Appalachian Ski Mountain , Blowing Rock,NC,Watauga
Cataloochee Ski Area , Maggie Valley,NC,Haywood
Wolf Ridge , Mars Hill,NC,Madison
Sugar Mountain , Sugar Mountain,NC,Avery
